channel,flutter_version,dart_sdk_version,release_date,flutter_release_commit_hash,engine_version_commit_hash,snapshot_hash
beta,3.27.0-0.2.pre,3.6.0 (build 3.6.0-334.4.beta),2024-11-14T21:46:21.726467Z,fc011960a2b3260d49b64823b90fe292440c78ee,397deba30fcb592f17dfb31b4e9e31e17fbfae9a,f956f595844a2f845a55707faaaa51e4
stable,3.24.5,3.5.4,2024-11-14T01:21:30.225253Z,dec2ee5c1f98f8e84a7d5380c05eb8a3d0a81668,a18df97ca57a249df5d8d68cd0820600223ce262,80a49c7111088100a233b2ae788e1f48
stable,3.24.4,3.5.4,2024-10-24T17:37:21.071837Z,603104015dd692ea3403755b55d07813d5cf8965,db49896cf25ceabc44096d5f088d86414e05a7aa,80a49c7111088100a233b2ae788e1f48
beta,3.27.0-0.1.pre,3.6.0 (build 3.6.0-334.3.beta),2024-10-22T17:15:09.547275Z,2e2c358c9b14765c90343af9df11e12c5dfc3e6c,af0f0d559c8a87d912a20971bbd84afc80a54b0f,f956f595844a2f845a55707faaaa51e4
stable,3.24.3,3.5.3,2024-09-12T17:35:51.434414Z,2663184aa79047d0a33a14a3b607954f8fdd8730,36335019a8eab588c3c2ea783c618d90505be233,80a49c7111088100a233b2ae788e1f48
beta,3.26.0-0.1.pre,3.6.0 (build 3.6.0-216.1.beta),2024-09-11T16:50:25.777191Z,ee624bc4fd41413cbb89099b0701a42287643d9a,059e4e6d8ff6de39c29441c53e949bfb0bf17972,8d97f46f9e092e886d13bfafe3fc7004
stable,3.24.2,3.5.2,2024-09-04T14:40:37.174233Z,4cf269e36de2573851eaef3c763994f8f9be494d,a6bd3f1de158bb61090e0c8053df93a10cb548e1,80a49c7111088100a233b2ae788e1f48
beta,3.25.0-0.1.pre,3.6.0 (build 3.6.0-149.3.beta),2024-08-21T17:43:56.379631Z,d3733fcb0ecb65cc845b3426bd32ecc1323db1cd,062b3a72fcbe76296ce19b02f58c03ba0cbb0dcf,13fc296ae53a2c88d454ab149588c7bb
stable,3.24.1,3.5.1,2024-08-21T16:24:33.738849Z,5874a72aa4c779a02553007c47dacbefba2374dc,c9b9d5780da342eb3f0f5e439a7db06f7d112575,80a49c7111088100a233b2ae788e1f48
stable,3.24.0,3.5.0,2024-08-06T17:48:18.363257Z,80c2e84975bbd28ecf5f8d4bd4ca5a2490bfc819,b8800d88be4866db1b15f8b954ab2573bba9960f,80a49c7111088100a233b2ae788e1f48
beta,3.24.0-0.2.pre,3.5.0 (build 3.5.0-323.2.beta),2024-07-30T09:30:23.796630Z,7c6b7e9ca485f7eaaed913c6bb50f4be6da47e30,6e4deceb3802049388e167e3b14fda5843ad16e6,80a49c7111088100a233b2ae788e1f48
beta,3.24.0-0.1.pre,3.5.0 (build 3.5.0-323.1.beta),2024-07-24T18:53:36.802293Z,b864805a681ae6bb7d7f6cafb7a5a21489819bcf,d89dd85f25cf4a3e15465a59594f4125b7f48d39,80a49c7111088100a233b2ae788e1f48
stable,3.22.3,3.4.4,2024-07-18T01:08:53.789813Z,b0850beeb25f6d5b10426284f506557f66181b36,235db911ba279722f5e685f38b0ed30fa7e8570a,d20a1be77c3d3c41b2a5accaee1ce549
beta,3.23.0-0.1.pre,3.5.0 (build 3.5.0-180.3.beta),2024-06-06T20:41:49.457659Z,2feea7a4071e25c1e3aac9c17016531bc4442f2a,bb10c5466638e963479ba5e64e601e42d1a43447,ee17e0dcd4903f37202fce913d63a7b8
